,gene,Symbol,description
69831,ENSMUSG00000077318,Gm24173,"predicted gene, 24173"
69833,ENSMUSG00000089174,Gm22434,"predicted gene, 22434"
69836,ENSMUSG00000077471,Gm24788,"predicted gene, 24788"
69837,ENSMUSG00000077220,LOC115487677,small nucleolar RNA SNORD78
69838,ENSMUSG00000080463,LOC115487678,small nucleolar RNA SNORD75
69840,ENSMUSG00000080524,Gm23879,"predicted gene, 23879"
69842,ENSMUSG00000088951,Gm24940,"predicted gene, 24940"
69843,ENSMUSG00000089512,Gm26287,"predicted gene, 26287"
69845,ENSMUSG00000088323,LOC115487685,small nucleolar RNA U109
69847,ENSMUSG00000094050,Gm23472,"predicted gene, 23472"
69848,ENSMUSG00000093956,Gm24497,"predicted gene, 24497"
69850,ENSMUSG00000094655,Gm25360,"predicted gene, 25360"
69851,ENSMUSG00000093843,Gm25939,"predicted gene, 25939"
69856,ENSMUSG00000065629,Gm24826,"predicted gene, 24826"
69859,ENSMUSG00000094668,LOC115487699,U5 spliceosomal RNA
69860,ENSMUSG00000094131,Gm22265,"predicted gene, 22265"
69861,ENSMUSG00000094013,Gm25829,"predicted gene, 25829"
69862,ENSMUSG00000096297,Gm23934,"predicted gene, 23934"
69863,ENSMUSG00000095955,Gm22360,"predicted gene, 22360"
69864,ENSMUSG00000096851,Gm22756,"predicted gene, 22756"
69865,ENSMUSG00000095610,Gm26245,"predicted gene, 26245"
69866,ENSMUSG00000096241,Gm24267,"predicted gene, 24267"
69867,ENSMUSG00000095731,Gm25312,"predicted gene, 25312"
69868,ENSMUSG00000093864,Gm22633,"predicted gene, 22633"
69869,ENSMUSG00000094394,Gm23402,"predicted gene, 23402"
69870,ENSMUSG00000096772,Gm22114,"predicted gene, 22114"
69871,ENSMUSG00000095752,Gm24182,"predicted gene, 24182"
69872,ENSMUSG00000096126,Gm22307,"predicted gene, 22307"
69873,ENSMUSG00000093879,Gm25457,"predicted gene, 25457"
69874,ENSMUSG00000096310,Gm23523,"predicted gene, 23523"
69996,ENSMUSG00000064632,Gm25142,"predicted gene, 25142"
69997,ENSMUSG00000065307,Gm23247,"predicted gene, 23247"
69998,ENSMUSG00000064746,Gm24707,"predicted gene, 24707"
69999,ENSMUSG00000065201,Gm24612,"predicted gene, 24612"
70000,ENSMUSG00000065162,Gm23645,"predicted gene, 23645"
70001,ENSMUSG00000096205,Gm22068,"predicted gene, 22068"
70002,ENSMUSG00000064719,Gm25930,"predicted gene, 25930"
70003,ENSMUSG00000065173,Gm22127,"predicted gene, 22127"
70004,ENSMUSG00000065012,Gm23507,"predicted gene, 23507"
70005,ENSMUSG00000065246,Gm22297,"predicted gene, 22297"
70006,ENSMUSG00000065591,Gm22753,"predicted gene, 22753"
70007,ENSMUSG00000065657,Gm25337,"predicted gene, 25337"
70008,ENSMUSG00000065869,Gm24917,"predicted gene, 24917"
70009,ENSMUSG00000064486,Gm23293,"predicted gene, 23293"
70010,ENSMUSG00000065384,Gm23093,"predicted gene, 23093"
70011,ENSMUSG00000064526,Gm26439,"predicted gene, 26439"
70012,ENSMUSG00000065298,Gm26121,"predicted gene, 26121"
70013,ENSMUSG00000077574,LOC115487854,U6 spliceosomal RNA
70014,ENSMUSG00000088001,Gm22883,"predicted gene, 22883"
70015,ENSMUSG00000077155,Gm24582,"predicted gene, 24582"
70018,ENSMUSG00000088437,LOC115487859,U6 spliceosomal RNA
70019,ENSMUSG00000088811,Gm22381,"predicted gene, 22381"
70021,ENSMUSG00000088910,Gm22608,"predicted gene, 22608"
70024,ENSMUSG00000088879,Gm25867,"predicted gene, 25867"
70025,ENSMUSG00000088889,Gm24211,"predicted gene, 24211"
70027,ENSMUSG00000093325,Gm26061,"predicted gene, 26061"
70028,ENSMUSG00000088106,Gm22378,"predicted gene, 22378"
70030,ENSMUSG00000089438,Gm23194,"predicted gene, 23194"
70032,ENSMUSG00000089479,Gm25362,"predicted gene, 25362"
70033,ENSMUSG00000065889,Gm22868,"predicted gene, 22868"
70034,ENSMUSG00000098853,Gm27393,"predicted gene, 27393"
70036,ENSMUSG00000065635,LOC115487877,small nucleolar RNA R38
70037,ENSMUSG00000065862,LOC115487878,small nucleolar RNA SNORA67
70038,ENSMUSG00000064692,Gm24151,"predicted gene, 24151"
70040,ENSMUSG00000064495,Gm24313,"predicted gene, 24313"
70041,ENSMUSG00000065379,LOC115487882,small nucleolar RNA SNORA25
70042,ENSMUSG00000064788,Gm22683,"predicted gene, 22683"
70043,ENSMUSG00000064513,LOC115487884,small nucleolar RNA SNORA9
70044,ENSMUSG00000065804,Gm23039,"predicted gene, 23039"
70045,ENSMUSG00000065262,LOC115487886,small nucleolar RNA SNORA32
70046,ENSMUSG00000087990,Gm25058,"predicted gene, 25058"
70047,ENSMUSG00000105120,Gm26413,"predicted gene, 26413"
70048,ENSMUSG00000064567,Gm24143,"predicted gene, 24143"
70049,ENSMUSG00000065283,Gm24454,"predicted gene, 24454"
70050,ENSMUSG00000084744,LOC115487891,small nucleolar RNA SNORA48
70051,ENSMUSG00000084708,LOC115487892,small nucleolar RNA SNORA48
70053,ENSMUSG00000087810,Gm25113,"predicted gene, 25113"
70059,ENSMUSG00000089390,Gm23021,"predicted gene, 23021"
70061,ENSMUSG00000088816,Gm22387,"predicted gene, 22387"
70063,ENSMUSG00000077649,Gm24989,"predicted gene, 24989"
70064,ENSMUSG00000080540,Gm22711,"predicted gene, 22711"
70065,ENSMUSG00000087881,Gm22442,"predicted gene, 22442"
70066,ENSMUSG00000089210,Gm23386,"predicted gene, 23386"
70067,ENSMUSG00000080517,Gm23109,"predicted gene, 23109"
70070,ENSMUSG00000088634,LOC115487911,small nucleolar RNA SNORD125
70071,ENSMUSG00000088169,LOC115487912,small nucleolar RNA SNORD124
70072,ENSMUSG00000088603,Gm24192,"predicted gene, 24192"
70073,ENSMUSG00000089542,Gm25835,"predicted gene, 25835"
70074,ENSMUSG00000064856,Gm23444,"predicted gene, 23444"
70075,ENSMUSG00000065767,LOC115487916,U2 spliceosomal RNA
70076,ENSMUSG00000064702,Gm24950,"predicted gene, 24950"
70077,ENSMUSG00000065251,Gm23971,"predicted gene, 23971"
70078,ENSMUSG00000065820,Gm26316,"predicted gene, 26316"
70079,ENSMUSG00000064795,Gm22423,"predicted gene, 22423"
70085,ENSMUSG00000098425,Gm24949,"predicted gene, 24949"
70089,ENSMUSG00000065627,Gm24803,"predicted gene, 24803"
70090,ENSMUSG00000065007,Gm26324,"predicted gene, 26324"
70091,ENSMUSG00000064743,Gm24856,"predicted gene, 24856"
70092,ENSMUSG00000064691,Gm24149,"predicted gene, 24149"
70093,ENSMUSG00000070249,Gm23520,"predicted gene, 23520"
70094,ENSMUSG00000088184,Gm23137,"predicted gene, 23137"
70095,ENSMUSG00000064831,Gm25698,"predicted gene, 25698"
70096,ENSMUSG00000065011,Gm23506,"predicted gene, 23506"
70097,ENSMUSG00000064939,Gm23721,"predicted gene, 23721"
70098,ENSMUSG00000064491,Gm22061,"predicted gene, 22061"
70099,ENSMUSG00000064718,Gm25929,"predicted gene, 25929"
70100,ENSMUSG00000065104,Gm26128,"predicted gene, 26128"
70101,ENSMUSG00000064577,Gm25799,"predicted gene, 25799"
70191,ENSMUSG00000070192,n-R5s58,nuclear encoded rRNA 5S 58
70192,ENSMUSG00000088441,Gm25599,"predicted gene, 25599"
70193,ENSMUSG00000084629,Gm25112,"predicted gene, 25112"
70196,ENSMUSG00000087842,Gm25622,"predicted gene, 25622"
70197,ENSMUSG00000088337,Gm22845,"predicted gene, 22845"
70199,ENSMUSG00000089603,Gm23059,"predicted gene, 23059"
70203,ENSMUSG00000088217,Gm22079,"predicted gene, 22079"
70204,ENSMUSG00000089074,Gm23817,"predicted gene, 23817"
70205,ENSMUSG00000064800,Gm24948,"predicted gene, 24948"
70206,ENSMUSG00000089351,Gm25486,"predicted gene, 25486"
70207,ENSMUSG00000064487,Gm23736,"predicted gene, 23736"
70208,ENSMUSG00000064726,Gm25854,"predicted gene, 25854"
70209,ENSMUSG00000064679,LOC115488050,small nucleolar RNA SNORD113/SNORD114 family
70210,ENSMUSG00000096349,Gm22513,"predicted gene, 22513"
70211,ENSMUSG00000064545,Gm22981,"predicted gene, 22981"
70212,ENSMUSG00000065013,LOC115488053,small nucleolar RNA SNORD113/SNORD114 family
70214,ENSMUSG00000065022,LOC115488055,small nucleolar RNA SNORD113/SNORD114 family
70215,ENSMUSG00000064720,Gm25856,"predicted gene, 25856"
70216,ENSMUSG00000065749,LOC115488057,small nucleolar RNA SNORD113/SNORD114 family
70217,ENSMUSG00000084487,Gm23787,"predicted gene, 23787"
70218,ENSMUSG00000084604,Gm22205,"predicted gene, 22205"
70219,ENSMUSG00000096214,Gm22634,"predicted gene, 22634"
70222,ENSMUSG00000064452,Gm24564,"predicted gene, 24564"
70223,ENSMUSG00000064427,Gm22748,"predicted gene, 22748"
70224,ENSMUSG00000094826,LOC115488065,U1 spliceosomal RNA
70225,ENSMUSG00000064620,Gm22303,"predicted gene, 22303"
70232,ENSMUSG00000096659,Gm25679,"predicted gene, 25679"
70233,ENSMUSG00000093815,Gm26444,"predicted gene, 26444"
70234,ENSMUSG00000096206,Gm22317,"predicted gene, 22317"
70236,ENSMUSG00000095590,LOC115488077,U1 spliceosomal RNA
70237,ENSMUSG00000080365,Gm25776,"predicted gene, 25776"
70239,ENSMUSG00000087790,Gm25970,"predicted gene, 25970"
70241,ENSMUSG00000075973,LOC115488082,5S ribosomal RNA
70242,ENSMUSG00000064833,Gm25926,"predicted gene, 25926"
70243,ENSMUSG00000065303,Gm23249,"predicted gene, 23249"
70244,ENSMUSG00000065232,Gm22973,"predicted gene, 22973"
70245,ENSMUSG00000084448,Gm26256,"predicted gene, 26256"
70249,ENSMUSG00000064776,Gm25203,"predicted gene, 25203"
70250,ENSMUSG00000096633,Gm22170,"predicted gene, 22170"
70252,ENSMUSG00000064412,Gm22246,"predicted gene, 22246"
70253,ENSMUSG00000075833,Gm22003,"predicted gene, 22003"
70254,ENSMUSG00000065685,Gm23732,"predicted gene, 23732"
70255,ENSMUSG00000065195,Gm26071,"predicted gene, 26071"
70256,ENSMUSG00000065348,Gm25577,"predicted gene, 25577"
70257,ENSMUSG00000064424,Gm22749,"predicted gene, 22749"
70258,ENSMUSG00000065115,Gm23298,"predicted gene, 23298"
70259,ENSMUSG00000064663,LOC115488100,U6 spliceosomal RNA
70260,ENSMUSG00000064489,Gm23296,"predicted gene, 23296"
70261,ENSMUSG00000064616,Gm26454,"predicted gene, 26454"
70263,ENSMUSG00000096163,Gm24142,"predicted gene, 24142"
70264,ENSMUSG00000075893,Gm25538,"predicted gene, 25538"
70265,ENSMUSG00000064572,Gm25801,"predicted gene, 25801"
70266,ENSMUSG00000064972,Gm26055,"predicted gene, 26055"
70267,ENSMUSG00000064958,Gm24921,"predicted gene, 24921"
70268,ENSMUSG00000075760,Gm25414,"predicted gene, 25414"
70269,ENSMUSG00000089153,Gm23579,"predicted gene, 23579"
70270,ENSMUSG00000089071,Gm24499,"predicted gene, 24499"
70271,ENSMUSG00000065919,Gm24449,"predicted gene, 24449"
70272,ENSMUSG00000075832,Gm22004,"predicted gene, 22004"
70273,ENSMUSG00000065244,Gm22296,"predicted gene, 22296"
70276,ENSMUSG00000088922,Gm24296,"predicted gene, 24296"
70277,ENSMUSG00000087939,Gm23676,"predicted gene, 23676"
70303,ENSMUSG00000113492,Gm47792,"predicted gene, 47792"
70325,ENSMUSG00000021451,LOC115488166,uncharacterized LOC115488166
70363,ENSMUSG00000110086,Gm45623,predicted gene 45623
70370,ENSMUSG00000093874,LOC115488211,small nucleolar RNA SNORA25
70371,ENSMUSG00000096563,Gm24095,"predicted gene, 24095"
70372,ENSMUSG00000077449,LOC115488213,small nucleolar RNA SNORA42/SNORA80 family
70373,ENSMUSG00000064672,Gm22806,"predicted gene, 22806"
70375,ENSMUSG00000064811,Gm22358,"predicted gene, 22358"
70376,ENSMUSG00000064558,Gm24620,"predicted gene, 24620"
70377,ENSMUSG00000089161,Gm24130,"predicted gene, 24130"
70378,ENSMUSG00000088435,Gm25383,"predicted gene, 25383"
70385,ENSMUSG00000065866,Gm24032,"predicted gene, 24032"
70392,ENSMUSG00000065256,Gm23972,"predicted gene, 23972"
70393,ENSMUSG00000084669,Gm23206,"predicted gene, 23206"
70395,ENSMUSG00000089052,Gm23351,"predicted gene, 23351"
70396,ENSMUSG00000087963,Gm25394,"predicted gene, 25394"
70397,ENSMUSG00000088308,Gm24507,"predicted gene, 24507"
70399,ENSMUSG00000084661,Gm24635,"predicted gene, 24635"
70400,ENSMUSG00000095584,Gm22628,"predicted gene, 22628"
70401,ENSMUSG00000094665,Gm24873,"predicted gene, 24873"
70402,ENSMUSG00000096642,Gm24870,"predicted gene, 24870"
70403,ENSMUSG00000096005,Gm24863,"predicted gene, 24863"
70404,ENSMUSG00000095825,Gm25448,"predicted gene, 25448"
70405,ENSMUSG00000064653,Gm26129,"predicted gene, 26129"
70406,ENSMUSG00000065678,Gm24261,"predicted gene, 24261"
70407,ENSMUSG00000095025,Gm24018,"predicted gene, 24018"
70408,ENSMUSG00000094754,Gm25020,"predicted gene, 25020"
70409,ENSMUSG00000065843,Gm25186,"predicted gene, 25186"
70410,ENSMUSG00000065315,Gm26064,"predicted gene, 26064"
70411,ENSMUSG00000065656,Gm23104,"predicted gene, 23104"
70412,ENSMUSG00000095379,Gm22108,"predicted gene, 22108"
70413,ENSMUSG00000093829,Gm24798,"predicted gene, 24798"
70414,ENSMUSG00000064854,Gm24527,"predicted gene, 24527"
70415,ENSMUSG00000084466,Gm22960,"predicted gene, 22960"
70416,ENSMUSG00000096182,Gm23308,"predicted gene, 23308"
70417,ENSMUSG00000095744,Gm22476,"predicted gene, 22476"
70418,ENSMUSG00000084753,Gm22452,"predicted gene, 22452"
70419,ENSMUSG00000096198,Gm26133,"predicted gene, 26133"
70420,ENSMUSG00000089413,Gm22013,"predicted gene, 22013"
70421,ENSMUSG00000088149,Gm24716,"predicted gene, 24716"
70422,ENSMUSG00000096021,Gm25985,"predicted gene, 25985"
70424,ENSMUSG00000089035,Gm22157,"predicted gene, 22157"
70425,ENSMUSG00000089107,Gm23117,"predicted gene, 23117"
70431,ENSMUSG00000070170,Gm24163,"predicted gene, 24163"
70432,ENSMUSG00000088563,Gm23779,"predicted gene, 23779"
70434,ENSMUSG00000064917,Gm22574,"predicted gene, 22574"
70437,ENSMUSG00000098773,LOC115488278,syncytin-B
70546,ENSMUSG00000093117,Gm22699,"predicted gene, 22699"
70547,ENSMUSG00000088160,Gm23538,"predicted gene, 23538"
70548,ENSMUSG00000095311,Gm25464,"predicted gene, 25464"
70551,ENSMUSG00000088761,LOC115488392,U6 spliceosomal RNA
70552,ENSMUSG00000089253,Gm25716,"predicted gene, 25716"
70553,ENSMUSG00000065328,Gm22053,"predicted gene, 22053"
70555,ENSMUSG00000065864,Gm24031,"predicted gene, 24031"
70556,ENSMUSG00000065673,Gm24258,"predicted gene, 24258"
70557,ENSMUSG00000088180,Gm22218,"predicted gene, 22218"
70561,ENSMUSG00000077611,LOC115488402,small nucleolar RNA SNORA74
70562,ENSMUSG00000088979,Gm23758,"predicted gene, 23758"
70563,ENSMUSG00000065853,LOC115488404,small nucleolar RNA SNORD58
70567,ENSMUSG00000064836,Gm25697,"predicted gene, 25697"
70569,ENSMUSG00000064442,Gm26225,"predicted gene, 26225"
70570,ENSMUSG00000065799,Gm25517,"predicted gene, 25517"
70572,ENSMUSG00000088536,Gm23278,"predicted gene, 23278"
70574,ENSMUSG00000065014,Gm23509,"predicted gene, 23509"
70585,ENSMUSG00000084447,Gm26251,"predicted gene, 26251"
70587,ENSMUSG00000077685,LOC115488428,small nucleolar RNA SNORD86
70588,ENSMUSG00000087912,LOC115488429,small nucleolar RNA SNORD19B
70589,ENSMUSG00000089549,Gm25831,"predicted gene, 25831"
70591,ENSMUSG00000065238,Gm22970,"predicted gene, 22970"
70599,ENSMUSG00000065836,Gm23502,"predicted gene, 23502"
70602,ENSMUSG00000065042,Gm24043,"predicted gene, 24043"
70603,ENSMUSG00000093873,Gm24540,"predicted gene, 24540"
70604,ENSMUSG00000094710,Gm22823,"predicted gene, 22823"
70605,ENSMUSG00000096030,Gm24424,"predicted gene, 24424"
70606,ENSMUSG00000095059,Gm25670,"predicted gene, 25670"
70607,ENSMUSG00000095299,LOC115488448,U6 spliceosomal RNA
70608,ENSMUSG00000064446,Gm26228,"predicted gene, 26228"
70609,ENSMUSG00000094275,Gm22290,"predicted gene, 22290"
70610,ENSMUSG00000064755,Gm26328,"predicted gene, 26328"
70611,ENSMUSG00000064399,Gm23629,"predicted gene, 23629"
70612,ENSMUSG00000064394,Gm23622,"predicted gene, 23622"
70613,ENSMUSG00000096731,Gm24316,"predicted gene, 24316"
70614,ENSMUSG00000064777,Gm25204,"predicted gene, 25204"
70615,ENSMUSG00000095087,Gm25328,"predicted gene, 25328"
70616,ENSMUSG00000064715,Gm24207,"predicted gene, 24207"
70617,ENSMUSG00000096444,Gm26139,"predicted gene, 26139"
70619,ENSMUSG00000095140,Gm24388,"predicted gene, 24388"
70621,ENSMUSG00000094312,Gm23242,"predicted gene, 23242"
70622,ENSMUSG00000084441,Gm26255,"predicted gene, 26255"
70623,ENSMUSG00000084648,Gm24378,"predicted gene, 24378"
70624,ENSMUSG00000077541,Gm22021,"predicted gene, 22021"
70638,ENSMUSG00000115616,Gm48923,"predicted gene, 48923"
70692,ENSMUSG00000116294,Gm49415,"predicted gene, 49415"
70700,ENSMUSG00000095792,Gm26296,"predicted gene, 26296"
70701,ENSMUSG00000094704,Gm24487,"predicted gene, 24487"
70703,ENSMUSG00000088679,Gm23665,"predicted gene, 23665"
70704,ENSMUSG00000064543,Gm22979,"predicted gene, 22979"
70705,ENSMUSG00000089504,Gm23475,"predicted gene, 23475"
70706,ENSMUSG00000095939,Gm25702,"predicted gene, 25702"
70707,ENSMUSG00000095149,Gm24390,"predicted gene, 24390"
70712,ENSMUSG00000065899,LOC115488553,small nucleolar RNA SNORA72
70713,ENSMUSG00000064675,Gm22810,"predicted gene, 22810"
70714,ENSMUSG00000065812,Gm24696,"predicted gene, 24696"
70715,ENSMUSG00000065852,Gm22353,"predicted gene, 22353"
70716,ENSMUSG00000064597,Gm22299,"predicted gene, 22299"
70717,ENSMUSG00000089267,Gm22890,"predicted gene, 22890"
70718,ENSMUSG00000089589,Gm23343,"predicted gene, 23343"
70720,ENSMUSG00000087760,Gm23980,"predicted gene, 23980"
70724,ENSMUSG00000080689,Gm23987,"predicted gene, 23987"
70725,ENSMUSG00000064764,Gm23517,"predicted gene, 23517"
70726,ENSMUSG00000080461,Gm22488,"predicted gene, 22488"
70727,ENSMUSG00000080595,Gm22031,"predicted gene, 22031"
70728,ENSMUSG00000080425,Gm24833,"predicted gene, 24833"
70730,ENSMUSG00000077783,Gm23907,"predicted gene, 23907"
70738,ENSMUSG00000095129,Gm23217,"predicted gene, 23217"
70739,ENSMUSG00000095245,Gm24753,"predicted gene, 24753"
70740,ENSMUSG00000095678,Gm25101,"predicted gene, 25101"
70741,ENSMUSG00000094730,Gm26178,"predicted gene, 26178"
70742,ENSMUSG00000094551,LOC115488583,U6 spliceosomal RNA
70743,ENSMUSG00000093831,Gm23144,"predicted gene, 23144"
70744,ENSMUSG00000096339,Gm24713,"predicted gene, 24713"
70745,ENSMUSG00000095635,Gm22951,"predicted gene, 22951"
70746,ENSMUSG00000096689,Gm25987,"predicted gene, 25987"
70747,ENSMUSG00000065936,Gm25628,"predicted gene, 25628"
70748,ENSMUSG00000064928,Gm22045,"predicted gene, 22045"
70749,ENSMUSG00000095422,Gm24415,"predicted gene, 24415"
70750,ENSMUSG00000064566,Gm24144,"predicted gene, 24144"
70751,ENSMUSG00000064884,Gm24204,"predicted gene, 24204"
70752,ENSMUSG00000065312,Gm26063,"predicted gene, 26063"
70753,ENSMUSG00000064481,Gm23737,"predicted gene, 23737"
70754,ENSMUSG00000065714,Gm25652,"predicted gene, 25652"
70755,ENSMUSG00000065111,Gm25141,"predicted gene, 25141"
70756,ENSMUSG00000065643,Gm25897,"predicted gene, 25897"
70757,ENSMUSG00000065760,Gm23848,"predicted gene, 23848"
70759,ENSMUSG00000084739,Gm22067,"predicted gene, 22067"
70760,ENSMUSG00000084607,Gm22208,"predicted gene, 22208"
70762,ENSMUSG00000077511,Gm25875,"predicted gene, 25875"
70763,ENSMUSG00000089560,Gm24668,"predicted gene, 24668"
70764,ENSMUSG00000065049,Gm24041,"predicted gene, 24041"
70766,ENSMUSG00000088071,Gm22818,"predicted gene, 22818"
70768,ENSMUSG00000088454,Gm26371,"predicted gene, 26371"
70776,ENSMUSG00000068067,LOC115488617,keratin-associated protein 20-2-like
70834,ENSMUSG00000070225,n-R5s33,nuclear encoded rRNA 5S 33
70835,ENSMUSG00000096823,Gm24569,"predicted gene, 24569"
70836,ENSMUSG00000089563,Gm24667,"predicted gene, 24667"
70837,ENSMUSG00000088517,Gm24437,"predicted gene, 24437"
70840,ENSMUSG00000088992,Gm22769,"predicted gene, 22769"
70842,ENSMUSG00000064463,Gm25079,"predicted gene, 25079"
70843,ENSMUSG00000065924,Gm22797,"predicted gene, 22797"
70844,ENSMUSG00000064727,Gm25853,"predicted gene, 25853"
70845,ENSMUSG00000087861,Gm24440,"predicted gene, 24440"
70848,ENSMUSG00000064382,LOC115488689,small nucleolar RNA SNORA63
70849,ENSMUSG00000064880,LOC115488690,small nucleolar RNA SNORA63
70850,ENSMUSG00000065208,LOC115488691,small nucleolar RNA SNORA4
70851,ENSMUSG00000065647,Gm25896,"predicted gene, 25896"
70852,ENSMUSG00000064471,LOC115488693,small nucleolar RNA SNORA32
70854,ENSMUSG00000087793,Gm25967,"predicted gene, 25967"
70855,ENSMUSG00000089011,Gm24879,"predicted gene, 24879"
70856,ENSMUSG00000064565,Gm24145,"predicted gene, 24145"
70866,ENSMUSG00000064830,Gm25699,"predicted gene, 25699"
70868,ENSMUSG00000075829,Gm23692,"predicted gene, 23692"
70869,ENSMUSG00000088225,Gm22598,"predicted gene, 22598"
70870,ENSMUSG00000077557,Gm23706,"predicted gene, 23706"
70871,ENSMUSG00000080364,Gm25777,"predicted gene, 25777"
70872,ENSMUSG00000080440,Gm25848,"predicted gene, 25848"
70873,ENSMUSG00000089001,Gm23852,"predicted gene, 23852"
70874,ENSMUSG00000096684,Gm25989,"predicted gene, 25989"
70875,ENSMUSG00000095977,Gm23513,"predicted gene, 23513"
70876,ENSMUSG00000065372,Gm22741,"predicted gene, 22741"
70882,ENSMUSG00000095791,Gm26295,"predicted gene, 26295"
70883,ENSMUSG00000095165,Gm25547,"predicted gene, 25547"
70884,ENSMUSG00000096895,Gm25245,"predicted gene, 25245"
70885,ENSMUSG00000096043,Gm24968,"predicted gene, 24968"
70886,ENSMUSG00000093988,Gm24861,"predicted gene, 24861"
70887,ENSMUSG00000096434,Gm22129,"predicted gene, 22129"
70888,ENSMUSG00000094726,Gm23355,"predicted gene, 23355"
70889,ENSMUSG00000095506,Gm22448,"predicted gene, 22448"
70890,ENSMUSG00000064549,Gm22977,"predicted gene, 22977"
70891,ENSMUSG00000094605,Gm25873,"predicted gene, 25873"
70892,ENSMUSG00000095070,Gm24508,"predicted gene, 24508"
70893,ENSMUSG00000064686,Gm25810,"predicted gene, 25810"
70894,ENSMUSG00000065331,Gm24927,"predicted gene, 24927"
70895,ENSMUSG00000094301,Gm24925,"predicted gene, 24925"
70896,ENSMUSG00000064670,Gm22808,"predicted gene, 22808"
70897,ENSMUSG00000095243,Gm24754,"predicted gene, 24754"
70898,ENSMUSG00000094020,Gm23003,"predicted gene, 23003"
70899,ENSMUSG00000065333,Gm24928,"predicted gene, 24928"
70900,ENSMUSG00000070173,Gm24164,"predicted gene, 24164"
70901,ENSMUSG00000084737,Gm25805,"predicted gene, 25805"
70902,ENSMUSG00000065667,Gm22576,"predicted gene, 22576"
